iso_code,continent,location,date,population,people_fully_vaccinated,pop_vaccd
GIB,Europe,Gibraltar,2021-11-07,33691.0,39814.0,1.1817399305452494
PCN,Oceania,Pitcairn,2021-09-07,47.0,47.0,1.0
ARE,Asia,United Arab Emirates,2021-11-07,9991083.0,8743040.0,0.8750843126816182
CYM,North America,Cayman Islands,2021-10-29,66498.0,54136.0,0.8140996721705916
FRO,Europe,Faeroe Islands,2021-11-05,49053.0,38142.0,0.7775671212769861
KHM,Asia,Cambodia,2021-11-07,16946446.0,13149177.0,0.7759253474150273
KOR,Asia,South Korea,2021-11-07,51305184.0,39332490.0,0.7666377339178825
BMU,North America,Bermuda,2021-11-05,62092.0,47365.0,0.7628196869161888
IMN,Europe,Isle of Man,2021-11-06,85410.0,64715.0,0.7576981618077508
URY,South America,Uruguay,2021-11-07,3485152.0,2625918.0,0.753458672677691
MYS,Asia,Malaysia,2021-11-07,32776195.0,24542347.0,0.7487857269582391
CAN,North America,Canada,2021-11-07,38067913.0,28471256.0,0.7479069314884691
JPN,Asia,Japan,2021-11-07,126050796.0,93361962.0,0.7406693568202457
JEY,Europe,Jersey,2021-10-31,101073.0,74651.0,0.7385849831310043
ITA,Europe,Italy,2021-11-07,60367471.0,43483464.0,0.7203128320548661
ABW,North America,Aruba,2021-11-05,107195.0,77078.0,0.7190447315639722
NIU,Oceania,Niue,2021-08-02,1614.0,1150.0,0.7125154894671624
FIN,Europe,Finland,2021-11-07,5548361.0,3931306.0,0.7085526698785461
TKL,Oceania,Tokelau,2021-10-12,1368.0,968.0,0.7076023391812866
NZL,Oceania,New Zealand,2021-11-07,4860642.0,3300890.0,0.6791057642179777
AUS,Oceania,Australia,2021-11-07,25788217.0,17283428.0,0.6702063969757971
NRU,Oceania,Nauru,2021-08-31,10873.0,7251.0,0.6668812655200956
TCA,North America,Turks and Caicos Islands,2021-10-08,39226.0,26112.0,0.665680925916484
DEU,Europe,Germany,2021-11-07,83900471.0,55811135.0,0.6652064563499291
OWID_EUN,,European Union,2021-11-07,447189915.0,293422801.0,0.6561480730172549
GRL,North America,Greenland,2021-11-04,56868.0,37258.0,0.6551663501441936
BHR,Asia,Bahrain,2021-11-07,1748295.0,1145266.0,0.6550759454211103
ISR,Asia,Israel,2021-11-07,8789776.0,5744458.0,0.6535386112228571
OWID_HIC,,High income,2021-11-07,1219580957.0,796953068.0,0.6534646703244645
LTU,Europe,Lithuania,2021-11-07,2689862.0,1735425.0,0.6451725032734021
COK,Oceania,Cook Islands,2021-10-18,17572.0,11192.0,0.636922376508081
BES,North America,Bonaire Sint Eustatius and Saba,2021-09-01,26445.0,16736.0,0.6328606541879372
LKA,Asia,Sri Lanka,2021-11-07,21497306.0,13577829.0,0.6316060719422238
GRC,Europe,Greece,2021-11-07,10370747.0,6417643.0,0.6188216721514853
OWID_UMC,,Upper middle income,2021-11-07,2597320507.0,1581687234.0,0.6089688314311684
AIA,North America,Anguilla,2021-11-05,15125.0,9158.0,0.6054876033057851
HUN,Europe,Hungary,2021-11-07,9634162.0,5754475.0,0.5972989659090225
HKG,Asia,Hong Kong,2021-11-07,7552800.0,4451436.0,0.5893755958055291
ARG,South America,Argentina,2021-11-07,45605823.0,26636903.0,0.5840680256992621
SHN,Africa,Saint Helena,2021-05-05,6095.0,3531.0,0.5793273174733388
TUR,Asia,Turkey,2021-11-07,85042736.0,49190536.0,0.5784213715795785
USA,North America,United States,2021-11-07,332915074.0,192396375.0,0.5779142791233298
CZE,Europe,Czechia,2021-11-07,10724553.0,6136089.0,0.5721533568811679
LVA,Europe,Latvia,2021-11-07,1866934.0,1059271.0,0.5673853494553102
CUW,North America,Curacao,2021-11-06,164796.0,92993.0,0.5642916090196364
SXM,North America,Sint Maarten (Dutch part),2021-10-29,43421.0,24329.0,0.5603049215817232
OWID_EUR,,Europe,2021-11-07,748962983.0,416002603.0,0.5554381357189184
MAC,Asia,Macao,2021-11-04,658391.0,361897.0,0.549668813820359
NCL,Oceania,New Caledonia,2021-11-01,288217.0,157759.0,0.5473618835807742
PAN,North America,Panama,2021-11-07,4381583.0,2380635.0,0.5433276055708633
OWID_SAM,,South America,2021-11-07,434260137.0,232332450.0,0.5350075454887999
OWID_NAM,,North America,2021-11-07,596581283.0,314457648.0,0.527099419577332
VGB,North America,British Virgin Islands,2021-10-29,30423.0,15970.0,0.524931795023502
TKM,Asia,Turkmenistan,2021-08-29,6117933.0,3206282.0,0.5240792927938244
PYF,Oceania,French Polynesia,2021-11-01,282534.0,147185.0,0.5209461516136111
WLF,Oceania,Wallis and Futuna,2021-11-01,11094.0,5639.0,0.5082927708671354
OWID_OCE,,Oceania,2021-11-07,43219954.0,21782312.0,0.503987394341049
FLK,South America,Falkland Islands,2021-04-14,3528.0,1775.0,0.5031179138321995
TUV,Oceania,Tuvalu,2021-10-22,11925.0,5884.0,0.49341719077568136
MEX,North America,Mexico,2021-11-07,130262220.0,62164245.0,0.47722390267876597
OWID_ASI,,Asia,2021-11-07,4678444992.0,2056783462.0,0.43962972002813705
TTO,North America,Trinidad and Tobago,2021-11-07,1403374.0,615701.0,0.4387290914610075
KAZ,Asia,Kazakhstan,2021-11-07,18994958.0,7666718.0,0.40361858130984024
OWID_WRL,,World,2021-11-07,7874965730.0,3126275087.0,0.3969890402304011
MNE,Europe,Montenegro,2021-11-07,628051.0,246225.0,0.3920461873319205
TWN,Asia,Taiwan,2021-11-07,23855008.0,8797884.0,0.36880658350649054
SUR,South America,Suriname,2021-11-07,591798.0,205929.0,0.34797177415266695
JOR,Asia,Jordan,2021-11-07,10269022.0,3570387.0,0.3476852031283992
RUS,Europe,Russia,2021-11-07,145912022.0,49574598.0,0.33975677480502603
BOL,South America,Bolivia,2021-11-07,11832936.0,3913343.0,0.3307161468632975
PHL,Asia,Philippines,2021-11-07,111046910.0,34717975.0,0.31264242291838645
IDN,Asia,Indonesia,2021-11-07,276361788.0,78994163.0,0.2858360541508727
MSR,North America,Montserrat,2021-10-08,4981.0,1409.0,0.28287492471391285
IND,Asia,India,2021-11-07,1393409033.0,341931630.0,0.245392143944857
GEO,Asia,Georgia,2021-11-07,3979773.0,952831.0,0.23941842914156158
LBN,Asia,Lebanon,2021-11-07,6769151.0,1566266.0,0.23138293118295042
BGR,Europe,Bulgaria,2021-11-07,6896655.0,1565240.0,0.2269564013278901
MDA,Europe,Moldova,2021-11-07,4024025.0,888853.0,0.22088655015811284
OWID_LMC,,Lower middle income,2021-11-07,3374001443.0,732926261.0,0.21722760745126332
ZAF,Africa,South Africa,2021-11-07,60041996.0,12810692.0,0.21336219402166443
PAK,Asia,Pakistan,2021-11-07,225199929.0,44431071.0,0.19729611460046242
BGD,Asia,Bangladesh,2021-11-07,166303494.0,30868846.0,0.1856175433091021
UKR,Europe,Ukraine,2021-11-07,43466822.0,7958733.0,0.1830990312565294
ZWE,Africa,Zimbabwe,2021-11-07,15092171.0,2648740.0,0.17550423991352868
JAM,North America,Jamaica,2021-11-07,2973462.0,442257.0,0.14873470722006873
KGZ,Asia,Kyrgyzstan,2021-11-07,6628347.0,784804.0,0.11840116397044391
OWID_AFR,,Africa,2021-11-07,1373486472.0,84916612.0,0.061825590372469284
MWI,Africa,Malawi,2021-11-07,19647681.0,562596.0,0.028634218969658558
OWID_LIC,,Low income,2021-11-07,683006316.0,14678431.0,0.02149091546614629
ETH,Africa,Ethiopia,2021-11-07,117876226.0,1372979.0,0.011647632831407411
GGY,Europe,Guernsey,2021-11-01,67052.0,,
OWID_CYN,Asia,Northern Cyprus,2021-11-05,,263291.0,
IRN,Asia,Iran,2021-11-07,85028760.0,,
MLT,Europe,Malta,2021-11-07,514564.0,,
MCO,Europe,Monaco,2021-11-07,39520.0,,
PRY,South America,Paraguay,2021-11-07,7219641.0,,
MRT,Africa,Mauritania,2021-11-07,4775110.0,,
MHL,Oceania,Marshall Islands,2021-11-07,59618.0,,
FSM,Oceania,Micronesia (country),2021-11-07,116255.0,,
ISL,Europe,Iceland,2021-11-07,343360.0,,
PNG,Oceania,Papua New Guinea,2021-11-07,9119005.0,,
PER,South America,Peru,2021-11-07,33359415.0,,
MLI,Africa,Mali,2021-11-07,20855724.0,,
OWID_INT,,International,2021-11-07,,,
MDV,Asia,Maldives,2021-11-07,543620.0,,
MDG,Africa,Madagascar,2021-11-07,28427333.0,,
PSE,Asia,Palestine,2021-11-07,5222756.0,,
KEN,Africa,Kenya,2021-11-07,54985702.0,,
MMR,Asia,Myanmar,2021-11-07,54806014.0,,
KIR,Oceania,Kiribati,2021-11-07,121388.0,,
NGA,Africa,Nigeria,2021-11-07,211400704.0,,
LIE,Europe,Liechtenstein,2021-11-07,38254.0,,
OWID_KOS,Europe,Kosovo,2021-11-07,1775378.0,,
KWT,Asia,Kuwait,2021-11-07,4328553.0,,
NAM,Africa,Namibia,2021-11-07,2587344.0,,
NER,Africa,Niger,2021-11-07,25130810.0,,
NPL,Asia,Nepal,2021-11-07,29674920.0,,
LBR,Africa,Liberia,2021-11-07,5180208.0,,
LAO,Asia,Laos,2021-11-07,7379358.0,,
LSO,Africa,Lesotho,2021-11-07,2159067.0,,
NLD,Europe,Netherlands,2021-11-07,17173094.0,,
LBY,Africa,Libya,2021-11-07,6958538.0,,
IRQ,Asia,Iraq,2021-11-07,41179351.0,,
MOZ,Africa,Mozambique,2021-11-07,32163045.0,,
IRL,Europe,Ireland,2021-11-07,4982904.0,,
PLW,Oceania,Palau,2021-11-07,18174.0,,
MNG,Asia,Mongolia,2021-11-07,3329282.0,,
OMN,Asia,Oman,2021-11-07,5223376.0,,
MAR,Africa,Morocco,2021-11-07,37344787.0,,
LUX,Europe,Luxembourg,2021-11-07,634814.0,,
NOR,Europe,Norway,2021-11-07,5465629.0,,
MKD,Europe,North Macedonia,2021-11-07,2082661.0,,
NIC,North America,Nicaragua,2021-11-07,6702379.0,,
AND,Europe,Andorra,2021-11-07,77354.0,,
ALB,Europe,Albania,2021-11-07,2872934.0,,
BRA,South America,Brazil,2021-11-07,213993441.0,,
TUN,Africa,Tunisia,2021-11-07,11935764.0,,
BRN,Asia,Brunei,2021-11-07,441532.0,,
BFA,Africa,Burkina Faso,2021-11-07,21497097.0,,
TON,Oceania,Tonga,2021-11-07,106759.0,,
TGO,Africa,Togo,2021-11-07,8478242.0,,
BDI,Africa,Burundi,2021-11-07,12255429.0,,
TLS,Asia,Timor,2021-11-07,1343875.0,,
CMR,Africa,Cameroon,2021-11-07,27224262.0,,
DZA,Africa,Algeria,2021-11-07,44616626.0,,
THA,Asia,Thailand,2021-11-07,69950844.0,,
CPV,Africa,Cape Verde,2021-11-07,561901.0,,
COG,Africa,Congo,2021-11-07,5657017.0,,
SWE,Europe,Sweden,2021-11-07,10160159.0,,
COM,Africa,Comoros,2021-11-07,888456.0,,
COL,South America,Colombia,2021-11-07,51265841.0,,
CHE,Europe,Switzerland,2021-11-07,8715494.0,,
BWA,Africa,Botswana,2021-11-07,2397240.0,,
CHN,Asia,China,2021-11-07,1444216102.0,,
CHL,South America,Chile,2021-11-07,19212362.0,,
TCD,Africa,Chad,2021-11-07,16914985.0,,
CAF,Africa,Central African Republic,2021-11-07,4919987.0,,
TJK,Asia,Tajikistan,2021-11-07,9749625.0,,
TZA,Africa,Tanzania,2021-11-07,61498438.0,,
SYR,Asia,Syria,2021-11-07,18275704.0,,
CRI,North America,Costa Rica,2021-11-07,5139053.0,,
BIH,Europe,Bosnia and Herzegovina,2021-11-07,3263459.0,,
ZMB,Africa,Zambia,2021-11-07,18920657.0,,
AGO,Africa,Angola,2021-11-07,33933611.0,,
YEM,Asia,Yemen,2021-11-07,30490639.0,,
ATG,North America,Antigua and Barbuda,2021-11-07,98728.0,,
ARM,Asia,Armenia,2021-11-07,2968128.0,,
VNM,Asia,Vietnam,2021-11-07,98168829.0,,
VEN,South America,Venezuela,2021-11-07,28704947.0,,
VAT,Europe,Vatican,2021-11-07,812.0,,
AUT,Europe,Austria,2021-11-07,9043072.0,,
AZE,Asia,Azerbaijan,2021-11-07,10223344.0,,
VUT,Oceania,Vanuatu,2021-11-07,314464.0,,
UZB,Asia,Uzbekistan,2021-11-07,33935765.0,,
BHS,North America,Bahamas,2021-11-07,396914.0,,
BTN,Asia,Bhutan,2021-11-07,779900.0,,
BEN,Africa,Benin,2021-11-07,12451031.0,,
GBR,Europe,United Kingdom,2021-11-07,68207114.0,,
BLZ,North America,Belize,2021-11-07,404915.0,,
UGA,Africa,Uganda,2021-11-07,47123533.0,,
BEL,Europe,Belgium,2021-11-07,11632334.0,,
BLR,Europe,Belarus,2021-11-07,9442867.0,,
BRB,North America,Barbados,2021-11-07,287708.0,,
SDN,Africa,Sudan,2021-11-07,44909351.0,,
HRV,Europe,Croatia,2021-11-07,4081657.0,,
FJI,Oceania,Fiji,2021-11-07,902899.0,,
SAU,Asia,Saudi Arabia,2021-11-07,35340680.0,,
FRA,Europe,France,2021-11-07,67564251.0,,
STP,Africa,Sao Tome and Principe,2021-11-07,223364.0,,
GAB,Africa,Gabon,2021-11-07,2278829.0,,
SMR,Europe,San Marino,2021-11-07,34010.0,,
GMB,Africa,Gambia,2021-11-07,2486937.0,,
WSM,Oceania,Samoa,2021-11-07,200144.0,,
VCT,North America,Saint Vincent and the Grenadines,2021-11-07,111269.0,,
GHA,Africa,Ghana,2021-11-07,31732128.0,,
LCA,North America,Saint Lucia,2021-11-07,184401.0,,
KNA,North America,Saint Kitts and Nevis,2021-11-07,53546.0,,
HND,North America,Honduras,2021-11-07,10062994.0,,
POL,Europe,Poland,2021-11-07,37797000.0,,
HTI,North America,Haiti,2021-11-07,11541683.0,,
PRT,Europe,Portugal,2021-11-07,10167923.0,,
GUY,South America,Guyana,2021-11-07,790329.0,,
SEN,Africa,Senegal,2021-11-07,17196308.0,,
QAT,Asia,Qatar,2021-11-07,2930524.0,,
GIN,Africa,Guinea,2021-11-07,13497237.0,,
ROU,Europe,Romania,2021-11-07,19127772.0,,
GTM,North America,Guatemala,2021-11-07,18249868.0,,
GRD,North America,Grenada,2021-11-07,113015.0,,
RWA,Africa,Rwanda,2021-11-07,13276517.0,,
GNB,Africa,Guinea-Bissau,2021-11-07,2015490.0,,
CIV,Africa,Cote d'Ivoire,2021-11-07,27053629.0,,
SRB,Europe,Serbia,2021-11-07,6908224.0,,
MUS,Africa,Mauritius,2021-11-07,1273428.0,,
CUB,North America,Cuba,2021-11-07,11317498.0,,
ESP,Europe,Spain,2021-11-07,46745211.0,,
CYP,Europe,Cyprus,2021-11-07,896005.0,,
SSD,Africa,South Sudan,2021-11-07,11381377.0,,
COD,Africa,Democratic Republic of Congo,2021-11-07,92377986.0,,
DNK,Europe,Denmark,2021-11-07,5813302.0,,
DJI,Africa,Djibouti,2021-11-07,1002197.0,,
AFG,Asia,Afghanistan,2021-11-07,39835428.0,,
DMA,North America,Dominica,2021-11-07,72172.0,,
DOM,North America,Dominican Republic,2021-11-07,10953714.0,,
SOM,Africa,Somalia,2021-11-07,16359500.0,,
ECU,South America,Ecuador,2021-11-07,17888474.0,,
SYC,Africa,Seychelles,2021-11-07,98910.0,,
SLE,Africa,Sierra Leone,2021-11-07,8141343.0,,
SWZ,Africa,Eswatini,2021-11-07,1172369.0,,
EST,Europe,Estonia,2021-11-07,1325188.0,,
SGP,Asia,Singapore,2021-11-07,5896684.0,,
SVK,Europe,Slovakia,2021-11-07,5460726.0,,
GNQ,Africa,Equatorial Guinea,2021-11-07,1449891.0,,
SLV,North America,El Salvador,2021-11-07,6518500.0,,
SVN,Europe,Slovenia,2021-11-07,2078723.0,,
EGY,Africa,Egypt,2021-11-07,104258327.0,,
SLB,Oceania,Solomon Islands,2021-11-07,703995.0,,
ERI,Africa,Eritrea,2021-11-07,3601462.0,,
